Cash On Hand (USD),
Day,Cash On Hand
0,3500000
1,3487400
2,3219560
3,2467440
4,2038018
5,620403
6,375684
7,482466
8,131120
9,158857
10,509627
11,588768
12,81057
13,569025
14,125695
15,457235
16,434919
17,352367
18,140450
19,338788
20,413652
21,452075
22,114165
23,235499
24,169497
25,563306
26,587408
27,409447
28,439530
29,568134
30,47865
31,157867
32,146514
33,224663
34,311767
35,673848
36,782045
37,990133
38,114679
39,810006
40,785929
41,173997
42,204034
43,356352
44,560805
45,1538513
46,1627278
47,1948188
48,2547349
49,3557697
50,3320577
51,3301762
52,4031975
53,2641673
54,3195832
55,3952974
56,4067912
57,4216269
58,4306645
59,4406643
60,4681720
61,4926500
62,5247248
63,5376609
64,5421999
65,5696643
66,5951274
67,6591321
68,6392596
69,6402420
70,6433341
71,4563472
72,4401362
73,5545768
74,6161756
75,4736012
76,4507884
77,4967408
78,5793444
79,7160478
80,7302683
81,7736569
82,7536439
83,7045214
84,7296172
85,7004788
86,8915282
87,8981067
88,9217947
89,9598666
90,9525794
